Date : 2022-04-29 22:55:21
Directory : /home/tautvydas/MyProjects/Bakis
Total : 111 files,  67804 codes, 545 comments, 446 blanks, all 68795 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          7 |     59,714 |          0 |          6 |     59,720 |
| Vue        |         29 |      4,916 |        216 |         84 |      5,216 |
| JavaScript |         68 |      3,122 |        328 |        345 |      3,795 |
| Markdown   |          1 |         27 |          0 |          8 |         35 |
| HTML       |          1 |         18 |          1 |          1 |         20 |
| SVG        |          5 |          7 |          0 |          2 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |        111 |     67,804 |        545 |        446 |     68,795 |
| client                                                                         |         64 |     44,661 |        307 |        214 |     45,182 |
| client/public                                                                  |          2 |         21 |          1 |          2 |         24 |
| client/public/img                                                              |          1 |          3 |          0 |          1 |          4 |
| client/public/img/icons                                                        |          1 |          3 |          0 |          1 |          4 |
| client/src                                                                     |         47 |      5,582 |        251 |        183 |      6,016 |
| client/src/assets                                                              |          4 |          4 |          0 |          1 |          5 |
| client/src/components                                                          |         19 |      3,257 |         10 |         37 |      3,304 |
| client/src/components/Calendar                                                 |          3 |        698 |          0 |          4 |        702 |
| client/src/plugins                                                             |          1 |          5 |          0 |          3 |          8 |
| client/src/router                                                              |          1 |         51 |          0 |          5 |         56 |
| client/src/services                                                            |          8 |        453 |         34 |         75 |        562 |
| client/src/store                                                               |          2 |        109 |          0 |          9 |        118 |
| client/src/store/modules                                                       |          1 |         76 |          0 |          5 |         81 |
| client/src/views                                                               |          9 |      1,529 |        203 |         43 |      1,775 |
| client/tests                                                                   |          6 |         40 |         55 |         14 |        109 |
| client/tests/e2e                                                               |          5 |         29 |         55 |         12 |         96 |
| client/tests/e2e/plugins                                                       |          1 |         10 |         12 |          5 |         27 |
| client/tests/e2e/specs                                                         |          1 |          6 |          1 |          2 |          9 |
| client/tests/e2e/support                                                       |          2 |          1 |         42 |          4 |         47 |
| client/tests/unit                                                              |          1 |         11 |          0 |          2 |         13 |
| server                                                                         |         47 |     23,143 |        238 |        232 |     23,613 |
| server/src                                                                     |         41 |      2,349 |        205 |        224 |      2,778 |
| server/src/controllers                                                         |         13 |      1,175 |        155 |         99 |      1,429 |
| server/src/models                                                              |         11 |        330 |          5 |         22 |        357 |
| server/src/routes                                                              |         13 |        204 |         24 |         63 |        291 |
| server/tests                                                                   |          2 |         12 |         12 |          4 |         28 |
| server/tests/unit                                                              |          2 |         12 |         12 |          4 |         28 |
| server/tests/unit/controllers                                                  |          1 |          0 |         12 |          2 |         14 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                       | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/tautvydas/MyProjects/Bakis/client/.eslintrc.js                           | JavaScript |         28 |          0 |          1 |         29 |
| /home/tautvydas/MyProjects/Bakis/client/README.md                              | Markdown   |         27 |          0 |          8 |         35 |
| /home/tautvydas/MyProjects/Bakis/client/babel.config.js                        | JavaScript |          5 |          0 |          1 |          6 |
| /home/tautvydas/MyProjects/Bakis/client/cypress.json                           | JSON       |          3 |          0 |          1 |          4 |
| /home/tautvydas/MyProjects/Bakis/client/jest.config.js                         | JavaScript |          3 |          0 |          1 |          4 |
| /home/tautvydas/MyProjects/Bakis/client/keys.json                              | JSON       |          5 |          0 |          0 |          5 |
| /home/tautvydas/MyProjects/Bakis/client/package-lock.json                      | JSON       |     38,896 |          0 |          1 |     38,897 |
| /home/tautvydas/MyProjects/Bakis/client/package.json                           | JSON       |         46 |          0 |          1 |         47 |
| /home/tautvydas/MyProjects/Bakis/client/public/img/icons/safari-pinned-tab.svg | SVG        |          3 |          0 |          1 |          4 |
| /home/tautvydas/MyProjects/Bakis/client/public/index.html                      | HTML       |         18 |          1 |          1 |         20 |
| /home/tautvydas/MyProjects/Bakis/client/src/App.vue                            | Vue        |        130 |          3 |          4 |        137 |
| /home/tautvydas/MyProjects/Bakis/client/src/assets/basketball.svg              | SVG        |          1 |          0 |          0 |          1 |
| /home/tautvydas/MyProjects/Bakis/client/src/assets/dumbbell.svg                | SVG        |          1 |          0 |          0 |          1 |
| /home/tautvydas/MyProjects/Bakis/client/src/assets/logo.svg                    | SVG        |          1 |          0 |          1 |          2 |
| /home/tautvydas/MyProjects/Bakis/client/src/assets/weight-lifter.svg           | SVG        |          1 |          0 |          0 |          1 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/Calendar/EventForm.vue  | Vue        |        216 |          0 |          1 |        217 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/Calendar/EventModal.vue | Vue        |        342 |          0 |          1 |        343 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/Calendar/Settings.vue   | Vue        |        140 |          0 |          2 |        142 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/CardModal.vue           | Vue        |         23 |          0 |          1 |         24 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/CardTable.vue           | Vue        |        182 |          3 |          2 |        187 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/Chat.vue                | Vue        |        129 |          0 |          2 |        131 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/ExerciseModal.vue       | Vue        |        348 |          0 |          1 |        349 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/FoodLogData.vue         | Vue        |         24 |          0 |          1 |         25 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/Login.vue               | Vue        |        131 |          0 |          3 |        134 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/Navigation.vue          | Vue        |        159 |          7 |          4 |        170 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/ProfileSettings.vue     | Vue        |        156 |          0 |          1 |        157 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/SignUp.vue              | Vue        |        147 |          0 |          4 |        151 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/SlideTable.vue          | Vue        |         78 |          0 |          1 |         79 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/WaterLogData.vue        | Vue        |        130 |          0 |          2 |        132 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/WaterLogModal.vue       | Vue        |        138 |          0 |          2 |        140 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/WeightLogData.vue       | Vue        |        134 |          0 |          2 |        136 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/WeightLogModal.vue      | Vue        |        145 |          0 |          2 |        147 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/WgerExercise.vue        | Vue        |        104 |          0 |          1 |        105 |
| /home/tautvydas/MyProjects/Bakis/client/src/components/WorkoutModal.vue        | Vue        |        531 |          0 |          4 |        535 |
| /home/tautvydas/MyProjects/Bakis/client/src/main.js                            | JavaScript |         15 |          0 |          3 |         18 |
| /home/tautvydas/MyProjects/Bakis/client/src/plugins/vuetify.js                 | JavaScript |          5 |          0 |          3 |          8 |
| /home/tautvydas/MyProjects/Bakis/client/src/registerServiceWorker.js           | JavaScript |         29 |          1 |          3 |         33 |
| /home/tautvydas/MyProjects/Bakis/client/src/router/index.js                    | JavaScript |         51 |          0 |          5 |         56 |
| /home/tautvydas/MyProjects/Bakis/client/src/services/api.js                    | JavaScript |          8 |          0 |          3 |         11 |
| /home/tautvydas/MyProjects/Bakis/client/src/services/apiInterceptor.js         | JavaScript |         31 |          5 |          4 |         40 |
| /home/tautvydas/MyProjects/Bakis/client/src/services/auth.js                   | JavaScript |          7 |          0 |          1 |          8 |
| /home/tautvydas/MyProjects/Bakis/client/src/services/authentication.js         | JavaScript |         41 |          0 |          6 |         47 |
| /home/tautvydas/MyProjects/Bakis/client/src/services/dnd.js                    | JavaScript |        185 |         22 |         19 |        226 |
| /home/tautvydas/MyProjects/Bakis/client/src/services/socket.js                 | JavaScript |         10 |          0 |          4 |         14 |
| /home/tautvydas/MyProjects/Bakis/client/src/services/token.js                  | JavaScript |         23 |          0 |          7 |         30 |
| /home/tautvydas/MyProjects/Bakis/client/src/services/user.js                   | JavaScript |        148 |          7 |         31 |        186 |
| /home/tautvydas/MyProjects/Bakis/client/src/store/index.js                     | JavaScript |         33 |          0 |          4 |         37 |
| /home/tautvydas/MyProjects/Bakis/client/src/store/modules/auth.js              | JavaScript |         76 |          0 |          5 |         81 |
| /home/tautvydas/MyProjects/Bakis/client/src/views/404.vue                      | Vue        |         65 |          0 |          9 |         74 |
| /home/tautvydas/MyProjects/Bakis/client/src/views/BarChart.vue                 | Vue        |         71 |          4 |          4 |         79 |
| /home/tautvydas/MyProjects/Bakis/client/src/views/Calendar.vue                 | Vue        |        318 |         86 |          8 |        412 |
| /home/tautvydas/MyProjects/Bakis/client/src/views/Exercises.vue                | Vue        |        145 |          0 |          4 |        149 |
| /home/tautvydas/MyProjects/Bakis/client/src/views/Home.vue                     | Vue        |         33 |          5 |          3 |         41 |
| /home/tautvydas/MyProjects/Bakis/client/src/views/Logger.vue                   | Vue        |         76 |          0 |          3 |         79 |
| /home/tautvydas/MyProjects/Bakis/client/src/views/Statistics.vue               | Vue        |        337 |        108 |          3 |        448 |
| /home/tautvydas/MyProjects/Bakis/client/src/views/Supervisors.vue              | Vue        |        313 |          0 |          6 |        319 |
| /home/tautvydas/MyProjects/Bakis/client/src/views/Workouts.vue                 | Vue        |        171 |          0 |          3 |        174 |
| /home/tautvydas/MyProjects/Bakis/client/tests/e2e/.eslintrc.js                 | JavaScript |         12 |          0 |          1 |         13 |
| /home/tautvydas/MyProjects/Bakis/client/tests/e2e/plugins/index.js             | JavaScript |         10 |         12 |          5 |         27 |
| /home/tautvydas/MyProjects/Bakis/client/tests/e2e/specs/test.js                | JavaScript |          6 |          1 |          2 |          9 |
| /home/tautvydas/MyProjects/Bakis/client/tests/e2e/support/commands.js          | JavaScript |          0 |         25 |          1 |         26 |
| /home/tautvydas/MyProjects/Bakis/client/tests/e2e/support/index.js             | JavaScript |          1 |         17 |          3 |         21 |
| /home/tautvydas/MyProjects/Bakis/client/tests/unit/example.spec.js             | JavaScript |         11 |          0 |          2 |         13 |
| /home/tautvydas/MyProjects/Bakis/client/vue.config.js                          | JavaScript |          5 |          0 |          1 |          6 |
| /home/tautvydas/MyProjects/Bakis/server/.eslintrc.cjs                          | JavaScript |         18 |         21 |          1 |         40 |
| /home/tautvydas/MyProjects/Bakis/server/nodemon.json                           | JSON       |          4 |          0 |          1 |          5 |
| /home/tautvydas/MyProjects/Bakis/server/package-lock.json                      | JSON       |     20,715 |          0 |          1 |     20,716 |
| /home/tautvydas/MyProjects/Bakis/server/package.json                           | JSON       |         45 |          0 |          1 |         46 |
| /home/tautvydas/MyProjects/Bakis/server/src/app.js                             | JavaScript |         76 |          0 |          8 |         84 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/api.js                 | JavaScript |        108 |          0 |          6 |        114 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/clients.js             | JavaScript |         88 |          0 |          6 |         94 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/coaches.js             | JavaScript |          0 |          0 |          1 |          1 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/communication.js       | JavaScript |         27 |          0 |          6 |         33 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/events.js              | JavaScript |        122 |          0 |          8 |        130 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/exercises.js           | JavaScript |        121 |          1 |         11 |        133 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/helper.js              | JavaScript |          9 |          0 |          2 |         11 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/messages.js            | JavaScript |         27 |         76 |          9 |        112 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/rooms.js               | JavaScript |        106 |         61 |         10 |        177 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/statistics.js          | JavaScript |        101 |          3 |         12 |        116 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/waterLogs.js           | JavaScript |        134 |          0 |          8 |        142 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/weightLogs.js          | JavaScript |        169 |          0 |          8 |        177 |
| /home/tautvydas/MyProjects/Bakis/server/src/controllers/workouts.js            | JavaScript |        163 |         14 |         12 |        189 |
| /home/tautvydas/MyProjects/Bakis/server/src/db.js                              | JavaScript |        471 |         10 |         21 |        502 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/clients.js                  | JavaScript |         76 |          0 |          2 |         78 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/events.js                   | JavaScript |         49 |          5 |          2 |         56 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/exercises.js                | JavaScript |         51 |          0 |          2 |         53 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/foodLogs.js                 | JavaScript |         13 |          0 |          2 |         15 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/index.js                    | JavaScript |         20 |          0 |          2 |         22 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/messages.js                 | JavaScript |         13 |          0 |          2 |         15 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/rooms.js                    | JavaScript |          9 |          0 |          2 |         11 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/waterLogs.js                | JavaScript |         21 |          0 |          2 |         23 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/weightLogs.js               | JavaScript |         26 |          0 |          2 |         28 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/workoutExercise.js          | JavaScript |         26 |          0 |          2 |         28 |
| /home/tautvydas/MyProjects/Bakis/server/src/models/workouts.js                 | JavaScript |         26 |          0 |          2 |         28 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes.js                          | JavaScript |         26 |          0 |          2 |         28 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/api.js                      | JavaScript |         15 |          0 |          4 |         19 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/clients.js                  | JavaScript |         22 |          0 |          5 |         27 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/coaches.js                  | JavaScript |         22 |          0 |          4 |         26 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/events.js                   | JavaScript |         15 |          0 |          5 |         20 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/exercises.js                | JavaScript |         18 |          0 |          6 |         24 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/fitbit.js                   | JavaScript |         23 |          4 |          6 |         33 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/messages.js                 | JavaScript |          8 |          0 |          4 |         12 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/rooms.js                    | JavaScript |         15 |          0 |          5 |         20 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/statistics.js               | JavaScript |          5 |          0 |          4 |          9 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/waterLogs.js                | JavaScript |         15 |          0 |          5 |         20 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/weightLogs.js               | JavaScript |         15 |          0 |          5 |         20 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/wger.js                     | JavaScript |         16 |         20 |          5 |         41 |
| /home/tautvydas/MyProjects/Bakis/server/src/routes/workouts.js                 | JavaScript |         15 |          0 |          5 |         20 |
| /home/tautvydas/MyProjects/Bakis/server/src/server.js                          | JavaScript |         67 |         11 |          9 |         87 |
| /home/tautvydas/MyProjects/Bakis/server/tests/unit/controllers/events.js       | JavaScript |          0 |         12 |          2 |         14 |
| /home/tautvydas/MyProjects/Bakis/server/tests/unit/test.spec.js                | JavaScript |         12 |          0 |          2 |         14 |
| Total                                                                          |            |     67,804 |        545 |        446 |     68,795 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
