"filename", "language", "JSON", "Markdown", "HTML", "JavaScript", "Vue", "SVG", "comment", "blank", "total"
"/home/tautvydas/MyProjects/Bakis/client/src/store/modules/auth.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 5, 81
"/home/tautvydas/MyProjects/Bakis/client/src/views/404.vue", "Vue", 0, 0, 0, 0, 65, 0, 0, 9, 74
"/home/tautvydas/MyProjects/Bakis/client/src/views/BarChart.vue", "Vue", 0, 0, 0, 0, 71, 0, 4, 4, 79
"/home/tautvydas/MyProjects/Bakis/client/src/views/Calendar.vue", "Vue", 0, 0, 0, 0, 318, 0, 86, 8, 412
"/home/tautvydas/MyProjects/Bakis/client/src/views/Exercises.vue", "Vue", 0, 0, 0, 0, 145, 0, 0, 4, 149
"/home/tautvydas/MyProjects/Bakis/client/src/views/Home.vue", "Vue", 0, 0, 0, 0, 33, 0, 5, 3, 41
"/home/tautvydas/MyProjects/Bakis/client/src/views/Logger.vue", "Vue", 0, 0, 0, 0, 76, 0, 0, 3, 79
"/home/tautvydas/MyProjects/Bakis/client/src/views/Statistics.vue", "Vue", 0, 0, 0, 0, 337, 0, 108, 3, 448
"/home/tautvydas/MyProjects/Bakis/client/src/views/Supervisors.vue", "Vue", 0, 0, 0, 0, 313, 0, 0, 6, 319
"/home/tautvydas/MyProjects/Bakis/client/src/views/Workouts.vue", "Vue", 0, 0, 0, 0, 171, 0, 0, 3, 174
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/.eslintrc.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 1, 13
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/plugins/index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 12, 5, 27
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/specs/test.js", "JavaScript", 0, 0, 0, 6, 0, 0, 1, 2, 9
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/support/commands.js", "JavaScript", 0, 0, 0, 0, 0, 0, 25, 1, 26
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/support/index.js", "JavaScript", 0, 0, 0, 1, 0, 0, 17, 3, 21
"/home/tautvydas/MyProjects/Bakis/client/tests/unit/example.spec.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 2, 13
"/home/tautvydas/MyProjects/Bakis/client/vue.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"/home/tautvydas/MyProjects/Bakis/server/.eslintrc.cjs", "JavaScript", 0, 0, 0, 18, 0, 0, 21, 1, 40
"/home/tautvydas/MyProjects/Bakis/server/nodemon.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/tautvydas/MyProjects/Bakis/server/package-lock.json", "JSON", 20715, 0, 0, 0, 0, 0, 0, 1, 20716
"/home/tautvydas/MyProjects/Bakis/server/package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 1, 46
"/home/tautvydas/MyProjects/Bakis/server/src/app.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 8, 84
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/api.js", "JavaScript", 0, 0, 0, 108, 0, 0, 0, 6, 114
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/clients.js", "JavaScript", 0, 0, 0, 88, 0, 0, 0, 6, 94
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/coaches.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/communication.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 6, 33
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/events.js", "JavaScript", 0, 0, 0, 122, 0, 0, 0, 8, 130
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/exercises.js", "JavaScript", 0, 0, 0, 121, 0, 0, 1, 11, 133
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/helper.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/messages.js", "JavaScript", 0, 0, 0, 27, 0, 0, 76, 9, 112
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/rooms.js", "JavaScript", 0, 0, 0, 106, 0, 0, 61, 10, 177
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/statistics.js", "JavaScript", 0, 0, 0, 101, 0, 0, 3, 12, 116
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/waterLogs.js", "JavaScript", 0, 0, 0, 134, 0, 0, 0, 8, 142
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/weightLogs.js", "JavaScript", 0, 0, 0, 169, 0, 0, 0, 8, 177
"/home/tautvydas/MyProjects/Bakis/server/src/controllers/workouts.js", "JavaScript", 0, 0, 0, 163, 0, 0, 14, 12, 189
"/home/tautvydas/MyProjects/Bakis/server/src/db.js", "JavaScript", 0, 0, 0, 471, 0, 0, 10, 21, 502
