"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Vue", "SVG", "Markdown", "HTML", "CSS", "JavaScript React", "comment", "blank", "total"
"/home/tautvydas/MyProjects/Bakis/client/src/views/BarChart.vue", "Vue", 0, 0, 0, 71, 0, 0, 0, 0, 0, 4, 4, 79
"/home/tautvydas/MyProjects/Bakis/client/src/views/Calendar.vue", "Vue", 0, 0, 0, 342, 0, 0, 0, 0, 0, 2, 9, 353
"/home/tautvydas/MyProjects/Bakis/client/src/views/Exercises.vue", "Vue", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 6, 192
"/home/tautvydas/MyProjects/Bakis/client/src/views/Home.vue", "Vue", 0, 0, 0, 58, 0, 0, 0, 0, 0, 6, 3, 67
"/home/tautvydas/MyProjects/Bakis/client/src/views/Logger.vue", "Vue", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 3, 78
"/home/tautvydas/MyProjects/Bakis/client/src/views/Profile.vue", "Vue", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/tautvydas/MyProjects/Bakis/client/src/views/Statistics.vue", "Vue", 0, 0, 0, 135, 0, 0, 0, 0, 0, 17, 3, 155
"/home/tautvydas/MyProjects/Bakis/client/src/views/Supervisors.vue", "Vue", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/home/tautvydas/MyProjects/Bakis/client/src/views/Workouts.vue", "Vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 35, 3, 123
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/.eslintrc.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/plugins/index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 27
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/specs/test.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/support/commands.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 26
"/home/tautvydas/MyProjects/Bakis/client/tests/e2e/support/index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 17, 3, 21
"/home/tautvydas/MyProjects/Bakis/client/tests/unit/example.spec.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/tautvydas/MyProjects/Bakis/client/vue.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/tautvydas/MyProjects/Bakis/server/.eslintrc.cjs", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 21, 1, 40
"/home/tautvydas/MyProjects/Bakis/server/nodemon.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/tautvydas/MyProjects/Bakis/server/package-lock.json", "JSON", 0, 0, 20397, 0, 0, 0, 0, 0, 0, 0, 1, 20398
