"filename", "language", "JavaScript", "JSON", "CSS", "JSON with Comments", "SVG", "Markdown", "HTML", "Vue", "JavaScript React", "comment", "blank", "total"
"/home/tautvydas/MyProjects/Bakis/client/.eslintrc.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"/home/tautvydas/MyProjects/Bakis/client/README.md", "Markdown", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 8, 35
"/home/tautvydas/MyProjects/Bakis/client/babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/tautvydas/MyProjects/Bakis/client/cypress.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/tautvydas/MyProjects/Bakis/client/jest.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/tautvydas/MyProjects/Bakis/client/keys.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/tautvydas/MyProjects/Bakis/client/package-lock.json", "JSON", 0, 38896, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38897
"/home/tautvydas/MyProjects/Bakis/client/package.json", "JSON", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"/home/tautvydas/MyProjects/Bakis/client/public/img/icons/safari-pinned-tab.svg", "SVG", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/tautvydas/MyProjects/Bakis/client/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 1, 20
"/home/tautvydas/MyProjects/Bakis/client/src/App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 106, 0, 1, 4, 111
"/home/tautvydas/MyProjects/Bakis/client/src/assets/basketball.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/tautvydas/MyProjects/Bakis/client/src/assets/dumbbell.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/tautvydas/MyProjects/Bakis/client/src/assets/logo.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/home/tautvydas/MyProjects/Bakis/client/src/assets/weight-lifter.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/tautvydas/MyProjects/Bakis/client/src/components/Calendar/EventForm.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 216, 0, 0, 1, 217
"/home/tautvydas/MyProjects/Bakis/client/src/components/Calendar/Settings.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 2, 142
"/home/tautvydas/MyProjects/Bakis/client/src/components/CardModal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"/home/tautvydas/MyProjects/Bakis/client/src/components/CardTable.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 167, 0, 4, 2, 173
"/home/tautvydas/MyProjects/Bakis/client/src/components/Create/ExerciseModal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 2, 167
"/home/tautvydas/MyProjects/Bakis/client/src/components/Create/WorkoutModal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 317, 0, 26, 5, 348
"/home/tautvydas/MyProjects/Bakis/client/src/components/ExerciseModal.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 315, 0, 0, 2, 317
